a2jmidid 9-5
a52dec 0.8.0-2
aalib 1.4rc5-18
abcmidi 2025_01_04-1
abseil-cpp 20240722.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
acpica 20240927-1
adljack 1.3.1-2
adlplug-lv2 1.0.2-12
adlplug-standalone 1.0.2-12
adlplug-vst 1.0.2-12
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-sans-cn-fonts 2.004-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aeolus 0.10.4-3
agordejo 0.4.2-2
aida-x-clap 1.1.0-1
aida-x-lv2 1.1.0-1
aida-x-vst 1.1.0-1
aida-x-vst3 1.1.0-1
aj-snapshot 0.9.9-3
alacritty 0.15.1-1
aliki 0.3.0-4
alsa-card-profiles 1:1.2.7-1
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
amb-plugins 0.8.1-8
ambdec 0.7.1-3
ambix-lv2 0.2.10-5
ambix-standalone 0.2.10-5
ambix-vst 0.2.10-5
ams 2.2.1-2
amsynth 1.13.4-2
amsynth-common 1.13.4-2
amsynth-dssi 1.13.4-2
amsynth-lv2 1.13.4-2
amsynth-standalone 1.13.4-2
amsynth-vst 1.13.4-2
aom 3.12.0-1
appstream 1.0.4-1
appstream-glib 0.8.3-2
aquamarine 0.7.2-1
archlinux-keyring 20250123-1
archlinux-xdg-menu 0.7.6.6-2
ardour 8.11-1
argtable 2.13-6
aribb24 1.0.3-4
ark 24.12.3-1
artyfx 1.3.1-4
at-spi2-core 2.54.1-1
atkmm 2.28.4-1
attica 6.11.0-1
attr 2.5.2-1
aubio 0.4.9-21
audacity 1:3.7.1-3
audiofile 0.3.6-10
audit 4.0.3-1
augeas 1.14.1-3
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
avldrums.lv2 0.7.3-1
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bchoppr 1.12.6-2
bespokesynth 1.3.0-2
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
blop 0.2.8-6
blop.lv2 1.0.4-3
blueman 2.4.4-1
blueprint-compiler 0.16.0-1
bluez 5.79-1
bluez-libs 5.79-1
bolt 0.9.8-1
boost-libs 1.87.0-3
breeze-icons 6.11.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
bsequencer 1.8.10-3
bshapr 0.13-3
bslizr 1.2.16-3
btop 1.4.0-5
btrfs-progs 6.13-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.109-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm 1.14.5-1
calf 0.90.4-1
cantarell-fonts 1:0.303.1-2
capnproto 1.1.0-1
caps 0.9.26-3
capstone 5.0.5-1
cardinal-clap 24.12-1
cardinal-data 24.12-1
cardinal-lv2 24.12-1
cardinal-standalone 24.12-1
cardinal-vst 24.12-1
cardinal-vst3 24.12-1
carla 2.5.9-1
cblas 3.12.1-2
cdrtools 3.02a09-6
chromaprint 1.5.1-9
chuck 1.5.4.4-1
cifs-utils 7.2-1
clang 19.1.7-1
clthreads 2.4.2-6
clxclient 3.9.2-5
cmake 3.31.6-1
cmt 1.18-4
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
compiler-rt 19.1.7-1
composefs 1.0.7-1
confuse 3.3-4
convertlit 1.8-12
coreutils 9.6-4
cpio 2.15-2
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.7.5-2
csound 6.18.1-6
csound-doc 6.18.1-6
csound-plugins 1.0.2-12
csoundqt 1:1.1.3-1
cups-pk-helper 0.2.7-2
curl 8.12.1-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
debootstrap 1.0.140-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
dexed 0.9.8-1
dexed-clap 0.9.8-1
dexed-docs 0.9.8-1
dexed-standalone 0.9.8-1
dexed-vst3 0.9.8-1
dgedit 0.10.0-3
dhcpcd 10.2.2-1
diffutils 3.11-2
din 58.1-2
discord 0.0.88-1
